date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:30	39842/39842	---MCZ	200	added ('OK')	image/svg+xml	etag:%2268ca88d4-9ba2%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/mega-menu-vector2.svg	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/mega-menu-vector2.svg	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:30	265650/265650	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:26%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-package-01.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-package-01.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:30	238729/238729	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:26%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-package-02.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-package-02.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:30	495917/495917	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:29%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-package-details.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-package-details.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:30	97861/97861	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:31%20GMT	https://demo.egenslab.com/html/gofly/preview/visa.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/visa.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:31	350774/350774	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:29%20GMT	https://demo.egenslab.com/html/gofly/preview/visa-details.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/visa-details.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:31	160167/160167	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:07%20GMT	https://demo.egenslab.com/html/gofly/preview/about.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/about.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:31	67852/67852	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:10%20GMT	https://demo.egenslab.com/html/gofly/preview/destination-02.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/destination-02.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:31	71824/71824	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:11%20GMT	https://demo.egenslab.com/html/gofly/preview/destination-03.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/destination-03.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:32	154150/154150	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:11%20GMT	https://demo.egenslab.com/html/gofly/preview/destination-04.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/destination-04.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:32	154441/154441	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:11%20GMT	https://demo.egenslab.com/html/gofly/preview/destination-05.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/destination-05.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:32	84453/84453	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:12%20GMT	https://demo.egenslab.com/html/gofly/preview/destination-06.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/destination-06.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:32	264615/264615	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:15%20GMT	https://demo.egenslab.com/html/gofly/preview/experience-grid.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/experience-grid.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:32	344967/344967	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:15%20GMT	https://demo.egenslab.com/html/gofly/preview/experience-details.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/experience-details.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:33	200324/200324	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:19%20GMT	https://demo.egenslab.com/html/gofly/preview/hotel.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/hotel.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:33	334151/334151	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:17%20GMT	https://demo.egenslab.com/html/gofly/preview/hotel-details.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/hotel-details.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:33	105748/105748	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:25%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-inspiration-01.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-inspiration-01.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:33	84697/84697	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:24%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-inspiration-02.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-inspiration-02.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:34	86562/86562	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:25%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-inspiration-03.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-inspiration-03.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
